PreferredName;ShortName;Definition;Source;Comment;SINotation;SIName;DINNotation;ECEName;ECECode;NISTName;IECClassification;IrdiUN;NameOfDedicatedQuantity
foot of mercury;ftHg;not SI conform unit of the pressure, at which 1 ftHg corresponds to the static pressure, which is excited by a mercury column with a height of 1 foot;NIST, Special Publication 811:2008;;;;ftHg;foot of mercury;K25;foot of mercury, conventional;;0173-1#05-AAA886#002;mechanical tension
cubic foot per day;ft³/d;power of the unit foot according to the Anglo-American and the Imperial system of units with the exponent 3 divided by the unit for time day;;One foot, measuring 30,48 centimetre, is designated as international foot.;;;ft³ d⁻¹;cubic foot per day;K22;;;0173-1#05-AAA887#002;volume flow rate or volume velocity
ounce (UK fluid) per hour;fl oz (UK)/h;unit of the volume fluid ounce (UK) for fluids according to the Imperial system of units divided by the unit for time hour;;;;;fl oz (UK) h⁻¹;ounce (UK fluid) per hour;J96;;;0173-1#05-AAA888#002;volume flow rate or volume velocity
foot of water;ftH₂O;not SI conform unit of the pressure, at which 1 ftH₂O corresponds to the static pressure, which is excited of a water column with a height of 1 foot;NIST, Special Publication 811:2008;;;;ftH₂O;foot of water;K24;foot of water, conventional;;0173-1#05-AAA889#002;mechanical tension
quart (UK liquid) per hour;qt (UK liq.)/h;unit of the volume quart (UK liquid) for fluids according to the Imperial system of units divided by the unit for time hour;;;;;liq qt (UK) h⁻¹;quart (UK liquid) per hour;K95;;;0173-1#05-AAA890#002;volume flow rate or volume velocity
foot pound-force per minute;ft·lbf/min;product of the unit according to the Anglo-American system of units pound-force and the unit foot according to the Anglo-American and Imperial system of units divided by the unit minute with the relation according to NIST: 1 ft·lbf/min = 2,259 697·10⁻² W;NIST, Special Publication 811:2008;;;;ft lbf min⁻¹;foot pound-force per minute;K16;foot pound-force per minute;;0173-1#05-AAA891#002;active power
foot pound-force per hour;ft·lbf/h;product of the unit pound-force according to the Anglo-American system of units and the unit foot according to the Anglo-American and Imperial system of units divided by the unit hour with the relation according to NIST: 1 ft·lbf/h = 3,766 161·10⁻⁴ W;NIST, Special Publication 811:2008;;;;ft lbf h⁻¹;foot pound-force per hour;K15;foot pound-force per hour;;0173-1#05-AAA892#002;active power
quart (US liquid) per hour;qt (US liq.)/h;unit fo the volume quart (US liquid) for fluids according to the Anglo-American system of units divided by the unit for time hour;;;;;liq qt (US) h⁻¹;quart (US liquid) per hour;K99;;;0173-1#05-AAA893#002;volume flow rate or volume velocity
nanogram per kilogram;ng/kg;mass ratio consisting of the 0,000 000 000 001-fold of the SI base unit kilogram divided by the SI base unit kilogram;;;ng/kg;nanogram per kilogram;ng kg⁻¹;nanogram per kilogram;L32;;;0173-1#05-AAA894#002;mass fraction
foot per hour;ft/h;unit foot according to the Anglo-American and Imperial system of units divided by the unit hour with the relation according to NIST: 1 ft/h = 8,466 667·10⁻⁵ m/s;NIST, Special Publication 811:2008;;;;ft h⁻¹;foot per hour;K14;foot per hour;;0173-1#05-AAA895#002;velocity
pound (avoirdupois) per minute;lb/min;unit of the mass avoirdupois pound according to the avoirdupois system of units divided by the unit for time minute;NIST, Special Publication 811:2008;;;;lb min⁻¹;pound (avoirdupois) per minute;K78;pound per minute;;0173-1#05-AAA896#002;mass flow rate
gill (US) per second;gi (US)/s;unit of the volume gill (US) for fluids according to the Anglo-American system of units divided by the SI base unit second;;;;;gi (US) s⁻¹;gill (US) per second;K39;;;0173-1#05-AAA897#002;volume flow rate or volume velocity
dyne centimetre;dyn·cm;CGS unit of the torque with the relation according to NIST: 1 dyn·cm = 0,000 000 1 N·m;NIST, Special Publication 811:2008;1 dyn corresponds to the force, which is required to accelerate the mass of 1 g with 1 cm/s².;;;dyn cm;dyne centimetre;J94;dyne centimeter;;0173-1#05-AAA898#002;torque
kilomole per cubic metre kelvin;(kmol/m³)/K;1 000-fold of the SI base unit mol divided by the product of the power of the SI base unit metre with the exponent 3 and the SI base unit Kelvin;;;kmol/(m³·K);kilomol per cubic metre kelvin;kmol m⁻³ K⁻¹;kilomole per cubic metre kelvin;K59;;;0173-1#05-AAA899#002;temperature-based amount-of-substance concentration
centimetre of mercury;cmHg;not SI conform unit of the pressure, that corresponds with the static pressure generated by a mercury column with the height of 1 centimetre;NIST, Special Publication 811:2008;;;;cmHg;centimetre of mercury;J89;centimeter of mercury, conventional;;0173-1#05-AAA900#002;mechanical tension
microlitre per litre;µl/l;volume ratio as 0,000 001-fold of the unit litre divided by the unit litre;;;µl/l;microlitre per litre;µl l⁻¹;microlitre per litre;J36;;;0173-1#05-AAA901#002;volume fraction
percent per degree;%/°;hundredth relating to the unit degree;;The composed unit %/° serves to display the dependence of the measurand.;;;% °⁻¹;percent per degree;H90;;;0173-1#05-AAA902#002;reciprocal plane angle
calorie (thermochemical) per gram degree Celsius;(calth/°C)/g;unit calorieth divided by the product of the unit gram and degree Celsius with the relation according to NIST: calth/(g·°C) = 4 184 J/(kg·K);NIST, Special Publication 811:2008;According to the German law on units in measurement, use of this unit in official communications and business transactions within Germany is prohibited.;;;cal(th) g⁻¹ °C⁻¹;calorie (thermochemical) per gram degree Celsius;J79;calorieth per gram degree Celsius;;0173-1#05-AAA903#002;massic heat capacity
percent per thousand;%/1000;hundredth relating to the co-efficient 1 000;;The composed unit %/1 000 serves to display the dependence of the Reynolds' number, which is used in the fluidics and describes the ratio of inertial forces to viscous forces.;;;% 10⁻³;percent per thousand;H94;;;0173-1#05-AAA904#002;characteristic number
percent per ohm;%/Ω;hundredth relating to the SI unit ohm;;The composed unit %/Ω serves to display the dependence of the measurand.;;;% Ω⁻¹;percent per ohm;H89;;;0173-1#05-AAA905#002;reciprocal electric resistance
calorie (thermochemical) per centimetre second degree Celsius;calth/(cm·s·°C);unit of the thermal conductivity according to the Imperial system of units with the relation according to NIST: 1 calth/(cm·s·°C)  = 418,4 W/(m·K);NIST, Special Publication 811:2008;;;;cal(th) cm⁻¹ s⁻¹ °C⁻¹;calorie (thermochemical) per centimetre second degree Celsius;J78;calorieth per centimeter second degree Celsius;;0173-1#05-AAA906#002;thermal conductivity
cubic centimetre per cubic metre;cm³/m³;volume ratio consisting of the 0,000 001-fold of the power of the SI base unit metre with the exponent 3 divided by the power of the SI base unit metre with the exponent 3;;;cm³/m³;cubic centimetre per cubic metre;cm³ m⁻³;cubic centimetre per cubic metre;J87;;;0173-1#05-AAA907#002;volume fraction
psi cubic metre per second;psi·m³/s;product of the composed unit for pressure (pound-force per square inch) and the composed unit for volume flow (cubic metre per second);;lbf/in² is also indicated with the abbreviation psi.;;;lbf in⁻² m³ s⁻¹;psi cubic metre per second;K89;;;0173-1#05-AAA908#002;gas leak rate
calorie (international table) per gram degree Celsius;(calIT/°C)/g;unit calorieIT divided by the products of the units gram and degree Celsius with the relation according to NIST: calIT/(g·°C) = 4 186,8 J/(kg·K);NIST, Special Publication 811:2008;According to the German law on units in measurement, use of this unit in official communications and business transactions within Germany is prohibited.;;;cal(IT) g⁻¹ °C⁻¹;calorie (international table) per gram degree Celsius;J76;calorieIT per gram degree Celsius;;0173-1#05-AAA909#002;massic heat capacity
gill (UK) per minute;gi (UK)/min;unit of the volume gill (UK) for fluids according to the Imperial system of units divided by the unit for time minute;;;;;gi (UK) min⁻¹;gill (UK) per minute;K34;;;0173-1#05-AAA910#002;volume flow rate or volume velocity
British thermal unit (thermochemical) per pound degree Fahrenheit;(Btuth/°F)/lb;unit of the thermal conductivity according to the Imperial system of units divided by the units pound and degree Fahrenheit with the relation according to NIST: 1 Btuth/(lb·°F) = 4 184 J/(kg·K);NIST, Special Publication 811:2008;According to the German law on units in measurement, use of this unit in official communications and business transactions within Germany is prohibited.;;;Btu(th) lb⁻¹ °F⁻¹;British thermal unit (thermochemical) per pound degree Fahrenheit;J50;British thermal unitth per pound degree Fahrenheit;;0173-1#05-AAA911#002;massic heat capacity
pint (UK);pt (UK);unit of the volume (both for fluids and for dry measures) according to the Imperial system of units with the relation according to NIST: 1 pt (UK) = 5,682 613·10⁻⁴ m³;;1 pint (UK) = 4 gill (UK) = 34,677 43 inch³ = 568,261 3 cm³ (ml);;;pt (UK);pint (UK);PTI;;;0173-1#05-AAA912#002;volume or section modulus
degree Fahrenheit per kelvin;°F/K;traditional unit degree Fahrenheit for temperature according to the Anglo-American system of units divided by the SI base unit Kelvin;;;;;°F K⁻¹;degree Fahrenheit per kelvin;J20;;;0173-1#05-AAA913#002;temperature ratio
barrel (UK petroleum);bbl (UK liq.);unit of the volume for crude oil according to the Imperial system of units with the relation according to NIST: 1 bbl (UK petroleum) = 0,159 113 16 m³;;;;;bbl (UK liq.);barrel (UK petroleum);J57;;;0173-1#05-AAA914#002;volume or section modulus
pound (avoirdupois) per cubic foot degree Fahrenheit;(lb/ft³)/°F;traditional unit avoirdupois pound for mass according to the avoirdupois system of units divided by the product of the power of the unit foot according to the Anglo-American and the Imperial system of units with the exponent 3 and the unit for temperature degree Fahrenheit;;;;;lb ft⁻³ °F⁻¹;pound (avoirdupois) per cubic foot degree Fahrenheit;K69;;;0173-1#05-AAA915#002;temperature-based density
pound (avoirdupois) per gallon (UK);lb/gal (UK);unit of the mass avoirdupois pound according to the avoirdupois system of units divided by the unit gallon (UK) according to the Imperial system of units with the relation according to NIST: 1 lb/gal (UK) = 99,776 37 kg/m³;NIST, Special Publication 811:2008;;;;lb gal (UK)⁻¹;pound (avoirdupois) per gallon (UK);K71;pound per gallon [Canadian and U.K. (Imperial)];;0173-1#05-AAA916#002;density
pound (avoirdupois) per hour degree Fahrenheit;(lb/h)/°F;traditional unit for mass avoirdupois pound according to the avoirdupois system of units divided by the product of the unit for time hour and the unit for temperature degree Fahrenheit;;;;;lb h⁻¹ °F⁻¹;pound (avoirdupois) per hour degree Fahrenheit;K73;;;0173-1#05-AAA917#002;temperature-based mass flow rate
peck (UK);pk (UK);unit of the volume according to the Imperial system of units with the relation according to NIST: 1 pk (UK) = 9,092 181·10⁻³ m³;;1 peck (UK) = 16 pint (UK) = 2 gallon (UK) = 8 quart (UK liq.) = 1/4 bushel (UK) = 554,838 9 cubic inch = 9,092 181 litre;;;pk (UK);peck (UK);L43;;;0173-1#05-AAA918#002;volume or section modulus
barrel (UK petroleum) per second;bbl (UK liq.)/s;unit of the volume barrel (UK petroleum) for crude oil according to the Imperial system of units divided by the SI base unit second;;;;;bbl (UK liq.) s⁻¹;barrel (UK petroleum) per second;J61;;;0173-1#05-AAA919#002;volume flow rate or volume velocity
pound (avoirdupois) per cubic inch degree Fahrenheit;(lb/in³)/°F;traditional unit avoirdupois pound for mass according to the avoirdupois system of units divided by the product of the power of the unit inch according to the Anglo-American and the Imperial system of units with the exponent 3 and the unit for temperature degree Fahrenheit;;;;;lb in⁻³ °F⁻¹;pound (avoirdupois) per cubic inch degree Fahrenheit;K75;;;0173-1#05-AAA920#002;temperature-based density
tonne per second;t/s;unit ton divided by the SI base unit second;;;t/s;metric ton per second;t s⁻¹;tonne per second;L81;;;0173-1#05-AAA921#002;mass flow rate
pound (avoirdupois) per minute degree Fahrenheit;(lb/min)/°F;traditional unit for mass avoirdupois pound according to the avoirdupois system of units divided by the product of the unit for time minute and the unit for temperature degree Fahrenheit;;;;;lb min⁻¹ °F⁻¹;pound (avoirdupois) per minute degree Fahrenheit;K79;;;0173-1#05-AAA922#002;temperature-based mass flow rate
pint (UK) per second;pt (UK)/s;unit of the volume pint (UK) (both for fluids and for dry measures) according to the Imperial system of units divided by the SI base unit second;;;;;pt (UK) s⁻¹;pint (UK) per second;L56;;;0173-1#05-AAA923#002;volume flow rate or volume velocity
pint (US liquid) per second;pt (US liq.)/s;unit of the volume pint (US liquid) according to the Anglo-American system of units divided by the SI base unit second;;;;;pt (US liq.) s⁻¹;pint (US liquid) per second;L60;;;0173-1#05-AAA924#002;volume flow rate or volume velocity
pound (avoirdupois) per second degree Fahrenheit;(lb/s)/°F;traditional unit for mass avoirdupois pound according to the avoirdupois system of units divided by the product of the SI base unit second and the unit for temperature degree Fahrenheit;;;;;lb s⁻¹ °F⁻¹;pound (avoirdupois) per second degree Fahrenheit;K82;;;0173-1#05-AAA925#002;temperature-based mass flow rate
cubic yard per minute;yd³/min;power of the unit yard according to the Anglo-American and the Imperial system of units with the exponent 3 divided by the unit for time minute;;;;;yd³ min⁻¹;cubic yard per minute;M15;cubic yard per minute;;0173-1#05-AAA926#002;volume flow rate or volume velocity
ounce (US fluid) per minute;fl oz (US)/min;unit of the volume fluid ounce (US) for fluids according to the Anglo-American system of units divided by the unit for time minute;;;;;fl oz (US) min⁻¹;ounce (US fluid) per minute;K11;;;0173-1#05-AAA927#002;volume flow rate or volume velocity
pound (avoirdupois) per degree Fahrenheit;lb/°F;traditional unit for mass avoirdupois pound according to the avoirdupois system of units divided by the unit for temperature degree Fahrenheit;;1 avoirdupois pound = 16 avoirdupois ounce = 453,592 37 Gramm = 256 dr = 7 000 grain;;;lb °F⁻¹;pound (avoirdupois) per degree Fahrenheit;K64;;;0173-1#05-AAA928#002;temperature-based mass
ounce (avoirdupois) per second;oz/s;traditional unit of the mass avoirdupois ounce according to the avoirdupois system of units divided by the SI base unit second;;;;;oz s⁻¹;ounce (avoirdupois) per second;L36;;;0173-1#05-AAA929#002;mass flow rate
pound (avoirdupois) per psi;lb/psi;traditional unit for mass avoirdupois pound according to the avoirdupois system of units divided by the composed unit for pressure (pound-force per square inch);;1 avoirdupois pound = 16 avoirdupois ounce = 453,592 37 gram = 256 dr = 7 000 grain, the unit for pressure (pound-force per square inch) is sometimes described in literature abbreviated as psi.;;;lb lbf⁻¹ in²;pound (avoirdupois) per psi;K77;;;0173-1#05-AAA930#002;pressure-based mass
pound per hour;lb/h;unit of the mass avoirdupois pound according to the avoirdupois system of units divided by the unit for time hour;NIST, Special Publication 811:2008;;;;lb h⁻¹;pound per hour;4U;pound per hour;;0173-1#05-AAA931#002;mass flow rate
fluid ounce (UK);fl oz (UK);unit of the volume for fluids according to the imperialen Einheitensystem of units with the relation according to NIST: 1 fl oz (UK) = 2,841 306·10⁻⁵ m³;NIST Special Publication 811:1995;1 fluid ounce (UK) = 8 fluid drum (UK) = 1,733 872 cubic inch = 28,413 06 cm³;;;fl oz (UK);fluid ounce (UK);OZI;;;0173-1#05-AAA932#002;volume or section modulus
milligram per cubic metre bar;(mg/m³)/bar;0,000 001-fold of the SI base unit kilogram divided by the product of the power of the SI base unit metre with the exponent 3 and the unit bar;;;mg/(m³·bar);milligram per cubic metre bar;mg m⁻³ bar⁻¹;milligram per cubic metre bar;L18;;;0173-1#05-AAA933#002;pressure-based density
ounce (US fluid) per hour;fl oz (US)/h;unit of the volume fluid ounce (US) for fluids according to the Anglo-American system of units divided by the unit for time hour;;;;;fl oz (US) h⁻¹;ounce (US fluid) per hour;K10;;;0173-1#05-AAA934#002;volume flow rate or volume velocity
milligram per cubic metre kelvin;(mg/m³)/K;0,000 001-fold of the SI base unit kilogram divided by the product of the power of the SI base unit metre with the exponent 3 and the SI base unit Kelvin;;;mg/(m³·K);milligram per cubic metre kelvin;mg m⁻³ K⁻¹;milligram per cubic metre kelvin;L17;;;0173-1#05-AAA935#002;temperature-based density
gallon (US) per day;gal (US liq.)/d;unit gallon (US, liq.) according to the Anglo-American system of units divided by the SI unit day with the relation according to NIST: 1 gal (US, liq.)/d = 4,381 264·10⁻⁸ m³/s;NIST, Special Publication 811:2008;;;;gal (US liq.) d⁻¹;gallon (US) per day;GB;gallon (U.S.) per day;;0173-1#05-AAA936#002;volume flow rate or volume velocity
mole per kilogram bar;(mol/kg)/bar;SI base unit mol divided by the product of the SI base unit kilogram and the unit bar;;;mol/(kg·bar);mol per kilogram bar;mol kg⁻¹ bar⁻¹;mole per kilogram bar;L25;;;0173-1#05-AAA937#002;pressure-based molality
gill (UK) per second;gi (UK)/s;unit of the volume gill (UK) for fluids according to the Imperial system of units divided by the SI base unit second;;;;;gi (UK) s⁻¹;gill (UK) per second;K35;;;0173-1#05-AAA938#002;volume flow rate or volume velocity
mole per kilogram kelvin;(mol/kg)/K;SI base unit mol divided by the product of the SI base unit kilogram and the SI base unit Kelvin;;;(mol/kg)/K;mol per kilogram kelvin;mol kg⁻¹ K⁻¹;mole per kilogram kelvin;L24;;;0173-1#05-AAA939#002;temperature-related molar mass
bushel (UK) per day;bu (UK)/d;unit of the volume bushel (UK) (for fluids and for dry measures) according to the Imperial system of units divided by the unit for time day;;;;;bu (UK) d⁻¹;bushel (UK) per day;J64;;;0173-1#05-AAA940#002;volume flow rate or volume velocity
mole per litre bar;(mol/l)/bar;SI base unit mol divided by the product of the unit litre and the unit bar;;;mol/(l·bar);mol per litre bar;mol l⁻¹ bar⁻¹;mole per litre bar;L27;;;0173-1#05-AAA941#002;pressure-based amount-of-substance concentration
bushel (UK) per hour;bu (UK)/h;unit of the volume bushel (UK) (for fluids and for dry measures) according to the Imperial system of units divided by the unit for time hour;;;;;bu (UK) h⁻¹;bushel (UK) per hour;J65;;;0173-1#05-AAA942#002;volume flow rate or volume velocity
British thermal unit (thermochemical) inch per second square foot degree Fahrenheit;Btuth·in/(s·ft²·°F);unit of the thermal conductivity according to the Imperial system of units with the relation according to NIST: 1 Btuth·in/(s·ft²·°F) = 518,873 2 W/(m·K);NIST, Special Publication 811:2008;;;;Btu(th) in s⁻¹ ft⁻² °F⁻¹;British thermal unit (thermochemical) inch per second square foot degree Fahrenheit;J49;British thermal unitth inch per second square foot degree Fahrenheit;;0173-1#05-AAA943#002;thermal conductivity
pint (UK) per day;pt (UK)/d;unit of the volume pint (UK) (both for fluids and for dry measures) according to the Imperial system of units divided by the unit for time day;;;;;pt (UK) d⁻¹;pint (UK) per day;L53;;;0173-1#05-AAA944#002;volume flow rate or volume velocity
British thermal unit (thermochemical) inch per hour square foot degree Fahrenheit;Btuth·in/(h·ft²·°F);unit of the thermal conductivity according to the Imperial system of units with the relation according to NIST: 1 Btuth·in/(h·ft²·°F) = 0,144 131 4 W/(m·K);NIST, Special Publication 811:2008;;;;Btu(th) in h⁻¹ ft⁻² °F⁻¹;British thermal unit (thermochemical) inch per hour square foot degree Fahrenheit;J48;British thermal unitth inch per hour square foot degree Fahrenheit;;0173-1#05-AAA945#002;thermal conductivity
pint (US liquid) per day;pt (US liq.)/d;unit of the volume pint (US liquid) according to the Anglo-American system of units divided by the unit for time day;;;;;pt (US liq.) d⁻¹;pint (US liquid) per day;L57;;;0173-1#05-AAA946#002;volume flow rate or volume velocity
British thermal unit (international table) foot per hour square foot degree Fahrenheit;BtuIT·ft/(h·ft²·°F);unit of the thermal conductivity according to the Imperial system of units with the relation according to NIST: 1 BtuIT · ft/(h·ft²·°F) = 1,730 735 W/(m·K);NIST, Special Publication 811:2008;;;;Btu(IT) ft h⁻¹ ft⁻² °F⁻¹;British thermal unit (international table) foot per hour square foot degree Fahrenheit;J40;British thermal unitIT foot per hour square foot degree Fahrenheit;;0173-1#05-AAA947#002;thermal conductivity
mole per litre kelvin;(mol/l)/K;SI base unit mol divided by the product of the unit litre and the SI base unit Kelvin;;;mol/(l·K);mol per litre kelvin;mol l⁻¹ K⁻¹;mole per litre kelvin;L26;;;0173-1#05-AAA948#002;temperature-based amount-of-substance concentration
part per thousand;‰;thousandth of a quantity;;;;;‰;part per thousand;NX;;;0173-1#05-AAA949#002;neutral ratio
tropical year;y (tropical);31 556 930-fold of the SI base unit second corresponding to one year with 365,242 2 days;NIST, Special Publication 811:2008;The time from one spring-equinox to the next, until the axis of the earth has the same angle to the sun again, so a full (apparent) orbit of the sun around the earth.;;;y (tropical);tropical year;D42;year (tropical);;0173-1#05-AAA950#002;time
mole per cubic metre bar;(mol/m³)/bar;SI base unit mol divided by the product of the power of the SI base unit metre with the exponent 3 and the unit bar;;;mol/(m³·bar);mol per cubic metre bar;mol m⁻³ bar⁻¹;mole per cubic metre bar;L29;;;0173-1#05-AAA951#002;pressure-based amount-of-substance concentration
reciprocal cubic millimetre;1/mm³;reciprocal value of the 0,000 000 001-fold of the power of the SI base unit metre with the exponent 3;;;1/mm³;reciprocal cubic millimetre;mm⁻³;reciprocal cubic millimetre;L20;;;0173-1#05-AAA952#002;volumetric entity density
ounce (UK fluid) per second;fl oz (UK)/s;unit of the volume fluid ounce (UK) for fluids according to the Imperial system of units divided by the SI base unit second;;;;;fl oz (UK) s⁻¹;ounce (UK fluid) per second;J98;;;0173-1#05-AAA953#002;volume flow rate or volume velocity
water horse power;water hp;unit of the power according to the Anglo-American system of units with the relation according to NIST: 1 water hp = 746,043 W;NIST, Special Publication 811:2008;;;;hp(water);water horse power;F80;horsepower (water);;0173-1#05-AAA954#002;active power
barrel (UK petroleum) per day;bbl (UK liq.)/d;unit of the volume barrel (UK petroleum) for crude oil according to the Imperial system of units divided by the unit day;;;;;bbl (UK liq.) d⁻¹;barrel (UK petroleum) per day;J59;;;0173-1#05-AAA955#002;volume flow rate or volume velocity
cubic millimetre per cubic metre;mm³/m³;volume ratio consisting of the 0,000 000 001-fold of the power of the SI base unit metre with the exponent 3 divided by the power of the SI base unit metre with the exponent 3;;;mm³/m³;cubic millimetre per cubic metre;mm³ m⁻³;cubic millimetre per cubic metre;L21;;;0173-1#05-AAA956#002;volume fraction
torr;Torr;CGS unit of the pressure with the relation: 1 Torr = (101 325/760) Pa ≈ 133 Pa;NIST, Special Publication 811:2008;Strictly speaking the interrelation 1 Torr = 1 mmHg is only true for 0 °C and at standard acceleration of gravity because the density of mercury temperature-dependent and the weight depends on the geographical length and width. Even more strictly speaking - this is not valid in Germany. The official conversion relations here are 1 mmHg = 133.322 Pa and 1 Torr = (101 325/760) Pa = 133,322 268...Pa.;;;torr;torr;UA;torr;;0173-1#05-AAA957#002;mechanical tension
percent per one hundred thousand;%/100000;hundredth relating to the co-efficient 100 000;;The composed unit %/100 000 serves to display the dependence of the Reynolds' number, which is used in the fluidics and describes the ratio of inertial forces to viscous forces.;;;% 10⁻⁵;percent per one hundred thousand;H92;;;0173-1#05-AAA958#002;characteristic number
mole per cubic metre kelvin;(mol/m³)/K;SI base unit mol divided by the product of the power of the SI base unit metre with the exponent 3 and the SI base unit Kelvin;;;mol/(m³·K);mol per cubic metre kelvin;mol m⁻³ K⁻¹;mole per cubic metre kelvin;L28;;;0173-1#05-AAA959#002;temperature-based amount-of-substance concentration
bar per bar;bar/bar;pressure relation consisting of the unit bar divided by the unit bar;;;;;bar bar⁻¹;bar per bar;J56;;;0173-1#05-AAA960#002;pressure ratio
ton (US) per hour;ton.s (US)/h;unit of the mass flow with the relation according to NIST: 1 ton.s/h (US) = 0,251 995 8 kg/s;NIST, Special Publication 811:2008;;;;ton(US) h⁻¹;ton (US) per hour;4W;ton, short, per hour;;0173-1#05-AAA961#002;mass flow rate
pound-force per square inch degree Fahrenheit;psi/°F;composed unit for pressure (pound-force per square inch) divided by the unit degree Fahrenheit for temperature;;The unit for pressure (pound-force per square inch) is sometimes abbreviated in literature as psi.;;;lbf in⁻² °F⁻¹;pound-force per square inch degree Fahrenheit;K86;;;0173-1#05-AAA962#002;pressure coefficient
tonne per day bar;(t/d)/bar;unit ton divided by the product of the unit day and the unit bar;;;t/(d·bar);metric ton per day bar;t d⁻¹ bar⁻¹;tonne per day bar;L73;;;0173-1#05-AAA963#002;pressure-based mass flow
microgram per kilogram;µg/kg;mass ratio as 0,000 000 001-fold of the SI base unit kilogram divided by the SI base unit kilogram;;;µg/kg;microgram per kilogram;µg kg⁻¹;microgram per kilogram;J33;;;0173-1#05-AAA964#002;mass fraction
dry quart (US);qt (US dry);unit of the volume according to the Anglo-American system of units with the relation according to NIST: 1 dry quart (US) = 1,101 221 litre;NIST, Special Publication 811:2008;;;;qt(US dry);dry quart (US);QTD;quart (U.S. dry);;0173-1#05-AAA965#002;volume or section modulus
psi per psi;psi/psi;composed unit for pressure (pound-force per square inch) divided by the composed unit for pressure (pound-force per square inch);;The unit for pressure (pound-force per square inch) is sometimes abbreviated in literature as psi.;;;psi/psi;psi per psi;L52;;;0173-1#05-AAA966#002;pressure ratio
yard per degree Fahrenheit;yd/°F;unit yard according to the Anglo-American and the Imperial system of units divided by the unit for temperature degree Fahrenheit;;;;;yd °F⁻¹;yard per degree Fahrenheit;L98;;;0173-1#05-AAA967#002;temperature-based length
gallon (UK) per day;gal (UK)/d;unit gallon (UK dry or liq.) according to the Imperial system of units divided by the SI unit day with the relation: 1 gal (UK)/d = 5,261 68·10⁻⁸ m³/s;;;;;gal (UK) d⁻¹;gallon (UK) per day;K26;;;0173-1#05-AAA968#002;volume flow rate or volume velocity
dry pint (US);pt (US dry);unit of the volume according to the Anglo-American system of units with the relation according to NIST: 1 dry pint (US) = 0,550 610 5 litre;NIST, Special Publication 811:2008;;;;pt(US dry);dry pint (US);PTD;pint (U.S. dry);;0173-1#05-AAA969#002;volume or section modulus
yard per psi;yd/psi;unit yard according to the Anglo-American and the Imperial system of units divided by the composed unit for pressure (pound-force per square inch);;The unit for pressure (pound-force per square inch) is sometimes abbreviated in literature as psi.;;;yd lbf⁻¹ in²;yard per psi;L99;;;0173-1#05-AAA970#002;pressure-based length
milli-inch;mil;0,001-fold of the unit inch according to the Anglo-American and Imperial system of units with the relation according to NIST: 1 milliinch = 0,000 025 4 metre;NIST, Special Publication 811:2008;;;;mil;milli-inch;77;mil (0.001 in);;0173-1#05-AAA971#002;distance
centipoise per kelvin;cP/K;0,01-fold of the CGS unit poise for dynamic viscosity divided by the SI base unit Kelvin;;According to the German law on units in measurement, use of this unit in official communications and business transactions within Germany is prohibited.;cP/K;;cP K⁻¹;centipoise per kelvin;J73;;;0173-1#05-AAA972#002;temperature-based dynamic viscosity
cubic yard per degree Fahrenheit;yd³/°F;power of the unit yard according to the Anglo-American and the Imperial system of units with the exponent 3 divided by the unit for temperature degree Fahrenheit;;;;;yd³ °F⁻¹;cubic yard per degree Fahrenheit;M11;;;0173-1#05-AAA973#002;temperature-related volume
cubic yard per psi;yd³/psi;power of the unit yard according to the Anglo-American and the Imperial system of units with the exponent 3 divided by the composed unit for pressure (pound-force per square inch);;The unit for pressure (pound-force per square inch) is sometimes abbreviated in literature as psi.;;;yd³ lbf⁻¹ in²;cubic yard per psi;M14;;;0173-1#05-AAA974#002;pressure-based volume
pint (UK) per hour;pt (UK)/h;unit of the volume pint (UK) (both for fluids and for dry measures) according to the Imperial system of units divided by the unit for time hour;;;;;pt (UK) h⁻¹;pint (UK) per hour;L54;;;0173-1#05-AAA975#002;volume flow rate or volume velocity
kilogram-force metre;kgf·m;product of the unit kilogram-force and the SI base unit metre with the relation according to NIST: 1 kgf·m = 9,806 65 N·m;NIST, Special Publication 811:2008;According to the German law on units in measurement, use of this unit in official communications and business transactions within Germany is prohibited.;;;kgf m;kilogram-force metre;B38;kilogram-force meter;;0173-1#05-AAA976#002;torque
pint (US liquid) per hour;pt (US liq.)/h;unit of the volume pint (US liquid) according to the Anglo-American system of units divided by the unit for time hour;;;;;pt (US liq.) h⁻¹;pint (US liquid) per hour;L58;;;0173-1#05-AAA977#002;volume flow rate or volume velocity
ton short per psi;ton (US)/psi;unit for mass ton (US, short) according to the Anglo-American system of units divided by the composed unit for pressure (pound-force per square inch);;The unit for pressure (pound-force per square inch) is sometimes abbreviated in literature as psi.;;;ton (US) lbf⁻¹ in²;ton short per psi;L91;;;0173-1#05-AAA978#002;pressure-based mass
ton short per degree Fahrenheit;ton (US)/°F;unit of the mass ton (US, short) according to the Anglo-American system of units divided by the unit degree Fahrenheit for temperature;;;;;ton (US) °F⁻¹;ton short per degree Fahrenheit;L87;;;0173-1#05-AAA979#002;temperature-based mass
degree Twaddell;°Tw;unit of the density of fluids, which are heavier than water with the relation: relative density = 0,005 (numerical value of the quantity in °Tw) + 1,000;;;;;°Tw;degree Twaddell;J31;;;0173-1#05-AAA980#002;density
